-------------------------------------------------------------------------------
--
-- Title      : List of local and global libraries visible in Library Manager
-- Active-HDL : StudentEdition 
-- Workspace  : FirstExample
-- Design     : MyDesign
-- Author     : p3
-- Company    : p3-Soft
-- Date       : 2015-03-08 10:44:23
--
-------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Library                | Mode  | Vendor     | Version                                          | Comment
a500k_ver              | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A500K VERILOG LIBRARY
a40mx_ver              | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A40MX VERILOG LIBRARY
a3200dx_ver            | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A3200DX VERILOG LIBRARY
a3200dx                | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A3200DX VHDL LIBRARY
a40mx                  | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A40MX VHDL LIBRARY
a42mx_ver              | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A42MX VERILOG LIBRARY
a42mx                  | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A42MX VHDL LIBRARY
a500k                  | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A500K VHDL LIBRARY
a54sxa_ver             | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A54SXA VERILOG LIBRARY
a54sx                  | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A54SX VHDL LIBRARY
a54sx_ver              | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A54SX VERILOG LIBRARY
act1_ver               | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | ACT1 VERILOG LIBRARY
a54sxa                 | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | A54SXA VHDL LIBRARY
act2                   | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | ACT2 VHDL LIBRARY
act1                   | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | ACT1 VHDL LIBRARY
act3_ver               | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | ACT3 VERILOG LIBRARY
act3                   | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | ACT3 VHDL LIBRARY
apa                    | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | APA VHDL LIBRARY
apa_ver                | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | APA VERILOG LIBRARY
axcelerator            | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | AXCELERATOR VHDL LIBRARY
axcelerator_gpset      | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | AXCELERATOR VHDL LIBRARY
axcelerator_ver        | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | AXCELERATOR VERILOG LIBRARY
axcelerator_gclr       | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | AXCELERATOR VHDL LIBRARY
axcelerator_gpset_ver  | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | AXCELERATOR VERILOG LIBRARY
iglooe_ver             | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | IGLOOE VERILOG LIBRARY
fusion_ver             | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | FUSION VERILOG LIBRARY
ex                     | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | EX VHDL LIBRARY
ex_ver                 | RO    | MICROSEMI  | MICROSEMI LIBERO 9.1 sp5                         | EX VERILOG LIBRARY
fusion                 | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | FUSION VHDL LIBRARY
igloo_ver              | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | IGLOO VERILOG LIBRARY
igloo                  | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | IGLOO VHDL LIBRARY
iglooe                 | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | IGLOOE VHDL LIBRARY
iglooplus_ver          | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | IGLOOPLUS VERILOG LIBRARY
iglooplus              | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | IGLOOPLUS VHDL LIBRARY
proasic3               | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | PROASIC3 VHDL LIBRARY
proasic3e_ver          | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | PROASIC3E VERILOG LIBRARY
proasic3_ver           | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | PROASIC3 VERILOG LIBRARY
proasic3e              | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | PROASIC3E VHDL LIBRARY
proasic3l_ver          | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | PROASIC3L VERILOG LIBRARY
smartfusion2_ver       | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | SMARTFUSION2 VERILOG LIBRARY
proasic3l              | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | PROASIC3L VHDL LIBRARY
smartfusion2           | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | SMARTFUSION2 VHDL LIBRARY
smartfusion            | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | SMARTFUSION VHDL LIBRARY
smartfusion_ver        | RO    | MICROSEMI  | MICROSEMI LIBERO SOC 11.1 SP3                    | SMARTFUSION VERILOG LIBRARY
mydesign               | RW    | No Data    | No Data                                          | No Data
assertions             | RO    | No Data    | No Data                                          | No Data
ieee                   | RO    | No Data    | No Data                                          | Standard IEEE packages library
ieee_proposed          | RO    | No Data    | No Data                                          | VHDL '93 compatible version of the proposed packages for the IEEE 1076-2008 standard
osvvm                  | RO    | No Data    | No Data                                          | No Data
std                    | RO    | No Data    | No Data                                          | Standard VHDL library
synopsys               | RO    | No Data    | No Data                                          | Library containing packages with useful functions for std_logic types objects
vtl_dbg                | RO    | No Data    | No Data                                          | No Data
vtl                    | RO    | No Data    | No Data                                          | No Data
vital2000              | RO    | No Data    | No Data                                          | Standard IEEE packages library
vl                     | RO    | No Data    | No Data                                          | Standard Verilog library
arcticlinkii_ver       | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | ARCTICLINKII VERILOG LIBRARY
arcticlinkii           | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | ARCTICLINKII VHDL LIBRARY
cssp_ppii_platform_ver | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | CSSP_PPII_PLATFORM VERILOG LIBRARY
cssp_ppii_platform     | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | CSSP_PPII_PLATFORM VHDL LIBRARY
eclipse_ver            | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | ECLIPSE VERILOG LIBRARY
eclipse                | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | ECLIPSE VHDL LIBRARY
pasic                  | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | PASIC VHDL LIBRARY
polarpro_ver           | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | POLARPRO VERILOG LIBRARY
pasic_ver              | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | PASIC VERILOG LIBRARY
polarpro               | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | POLARPRO VHDL LIBRARY
polarproii_ver         | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | POLARPROII VERILOG LIBRARY
polarproii             | RO    | QUICKLOGIC | QUICKLOGIC QUICKWORKS 2010.4.1                   | POLARPROII VHDL LIBRARY
synplify               | RO    | SYNOPSYS   | SYNOPSYS FPGA PRODUCTS I-2013.09-1               | SYNPLIFY VHDL LIBRARY
cpld_ver               | RO    | XILINX     | XILINX ISE 14.7                                  | CPLD VERILOG LIBRARY
cpld                   | RO    | XILINX     | XILINX ISE 14.7                                  | CPLD VHDL LIBRARY
simprims_ver           | RO    | XILINX     | XILINX ISE 14.7                                  | SIMPRIM VERILOG LIBRARY
secureip               | RO    | XILINX     | XILINX ISE 14.7                                  | SECUREIP LIBRARY
simprim                | RO    | XILINX     | XILINX ISE 14.7                                  | SIMPRIM VHDL LIBRARY
unimacro_ver           | RO    | XILINX     | XILINX ISE 14.7                                  | UNIMACRO VERILOG LIBRARY
unimacro               | RO    | XILINX     | XILINX ISE 14.7                                  | UNIMACRO VHDL LIBRARY
uni9000_ver            | RO    | XILINX     | XILINX ISE 14.7                                  | UNISIM VERILOG LIBRARY FOR XC9000 FAMILY
unisims_ver            | RO    | XILINX     | XILINX ISE 14.7                                  | UNISIM VERILOG LIBRARY
xilinxcorelib_ver      | RO    | XILINX     | XILINX ISE 14.7                                  | XILINXCORELIB VERILOG LIBRARY
unisim                 | RO    | XILINX     | XILINX ISE 14.7                                  | UNISIM VHDL LIBRARY
xilinxcorelib          | RO    | XILINX     | XILINX ISE 14.7                                  | XILINXCORELIB VHDL LIBRARY
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

